id,merged,dsh1,dshpct,beds,bed_days,medicare_days,medicaid_days,days,employees,medicare_disch,medicaid_disch,discharges,status_cat,state_cat,city_cat,county_cat
280030,0.0,3081228.0,0.165800005197525,224.0,67872.0,11045.0,8182.0,33818.0,517.169982910156,2045.0,988.0,7174.0,2,31,2059,461
280032,0.0,422407.0,0.0412000007927418,96.0,35136.0,5634.0,1870.0,13658.0,712.710021972656,1444.0,615.0,3356.0,3,31,1201,4
280040,0.0,1376616.0,0.0285999998450279,353.0,129198.0,29880.0,11855.0,89916.0,2416.830078125,5369.0,1207.0,16825.0,2,31,2059,461
280060,0.0,6239671.0,0.150800004601479,315.0,114975.0,26200.0,18980.0,83175.0,1368.64001464844,4580.0,2043.0,15120.0,2,31,2059,461
280061,0.0,1254133.0,0.0632999986410141,130.0,47580.0,10057.0,3599.0,22916.0,1196.41003417969,2377.0,695.0,7136.0,2,31,2529,1384
280065,0.0,775895.0,0.0551999993622303,71.0,25986.0,7985.0,2050.0,14796.0,768.580017089844,2113.0,597.0,4370.0,3,31,2001,883
280077,0.0,901695.0,0.0934000015258789,90.0,32850.0,5767.0,2337.0,10789.0,503.529998779297,1517.0,755.0,3125.0,3,31,996,455
280081,0.0,4160377.0,0.240299999713898,184.0,67160.0,11492.0,11996.0,38158.0,898.919982910156,2291.0,1917.0,8143.0,2,31,2059,461
280105,0.0,,,70.0,25550.0,3616.0,673.0,7657.0,246.380004882812,872.0,144.0,2034.0,2,31,2134,1371
280111,0.0,,,47.0,17155.0,3957.0,969.0,8093.0,449.850006103516,1049.0,228.0,2225.0,3,31,582,1211
280125,0.0,418627.0,0.0265999995172024,116.0,42456.0,9854.0,1839.0,21178.0,826.0,1955.0,584.0,4879.0,2,31,1989,917
280127,0.0,,,21.0,7686.0,821.0,16.0,2020.0,185.460006713867,315.0,9.0,764.0,3,31,1573,840
280128,0.0,,,54.0,19710.0,4167.0,114.0,6450.0,550.330017089844,1306.0,28.0,2113.0,3,31,1573,840
280129,0.0,,,24.0,8760.0,1671.0,44.0,4052.0,272.220001220703,580.0,16.0,1513.0,3,31,2059,461
280130,0.0,,,145.0,52925.0,11454.0,1922.0,28449.0,548.47998046875,2564.0,398.0,7353.0,3,31,2059,461
280131,0.0,,,19.0,6954.0,565.0,11.0,1870.0,67.3499984741211,231.0,5.0,930.0,3,31,2059,461
280132,0.0,,,73.0,26645.0,4661.0,481.0,11388.0,303.0,1231.0,433.0,3983.0,3,31,210,1371
280133,0.0,,,34.0,12444.0,772.0,77.0,3487.0,95.9700012207031,267.0,50.0,1690.0,3,31,2059,461
281300,0.0,,,19.0,6954.0,1057.0,6.0,1280.0,63.3699989318848,74.0,5.0,106.0,3,31,46,653
281301,0.0,,,20.0,7300.0,948.0,99.0,2143.0,100.379997253418,153.0,6.0,225.0,3,31,1046,532
281302,0.0,,,17.0,6205.0,693.0,,728.0,45.9199981689453,50.0,,51.0,3,31,2158,1169
281303,0.0,,,20.0,7300.0,282.0,,1265.0,18.3799991607666,22.0,,27.0,3,31,1640,167
281304,0.0,,,19.0,6935.0,1349.0,101.0,1726.0,94.5599975585938,208.0,28.0,337.0,3,31,1225,1538
281305,0.0,,,20.0,7300.0,494.0,3.0,554.0,62.5299987792969,85.0,2.0,116.0,3,31,1437,799
281306,0.0,,,10.0,4895.0,793.0,,960.0,68.9100036621094,80.0,,103.0,2,31,1810,784
281307,0.0,,,16.0,5840.0,1592.0,10.0,1736.0,126.5,126.0,4.0,142.0,3,31,2948,1373
281308,0.0,,,13.0,4745.0,397.0,29.0,511.0,47.060001373291,56.0,8.0,95.0,2,31,1229,1735
281309,0.0,,,18.0,6570.0,471.0,12.0,626.0,77.4899978637695,72.0,4.0,85.0,3,31,2764,1143
281310,0.0,,,10.0,3650.0,303.0,,331.0,63.6699981689453,58.0,,70.0,2,31,2092,563
281311,0.0,,,14.0,5110.0,494.0,12.0,582.0,43.2299995422363,104.0,3.0,129.0,3,31,987,546
281312,0.0,,,17.0,6205.0,599.0,3.0,740.0,48.8400001525879,62.0,2.0,76.0,2,31,1047,1044
